pQTL.Protein	pQTL.Disease/Phenotype	pQTL.pvalue	pQTL.rsID	pQTL.steiger_pvalue	pQTL.coloc_prob	pQTL.beta	pQTL.method	pQTL.trans_cis	pQTL.q_pvalue	pQTL.ld_check	pQTL.se
APOB	Diagnoses - main ICD10: K20 Oesophagitis	0.170139503495745	rs4751870	NA	NA	0.000980805464176534	Inverse variance weighted	trans	0.930951471080274	NA	0.000715000103131487
APOB	Diagnoses - main ICD10: K20 Oesophagitis	0.170139503495745	rs964184	NA	NA	0.000980805464176534	Inverse variance weighted	trans	0.930951471080274	NA	0.000715000103131487
APOB	Diagnoses - main ICD10: K20 Oesophagitis	0.170139503495745	rs520354	NA	NA	0.000980805464176534	Inverse variance weighted	cis	0.930951471080274	NA	0.000715000103131487
APOB	Depressive symptoms	0.171921548278107	rs4751870	NA	NA	0.0125935186467874	Inverse variance weighted	trans	0.460319211394487	NA	0.00921889247417759
APOB	Depressive symptoms	0.171921548278107	rs964184	NA	NA	0.0125935186467874	Inverse variance weighted	trans	0.460319211394487	NA	0.00921889247417759
APOB	Depressive symptoms	0.171921548278107	rs520354	NA	NA	0.0125935186467874	Inverse variance weighted	cis	0.460319211394487	NA	0.00921889247417759
APOB	Hearing difficulty or problems: Yes	0.180196002113684	rs4751870	NA	NA	0.00460930849708014	Inverse variance weighted	trans	0.316275362596078	NA	0.00343939286440472
APOB	Hearing difficulty or problems: Yes	0.180196002113684	rs964184	NA	NA	0.00460930849708014	Inverse variance weighted	trans	0.316275362596078	NA	0.00343939286440472
APOB	Hearing difficulty or problems: Yes	0.180196002113684	rs520354	NA	NA	0.00460930849708014	Inverse variance weighted	cis	0.316275362596078	NA	0.00343939286440472
APOB	Iron	0.183518271300562	rs520354	NA	NA	-0.0438509726343554	Wald ratio	cis	NA	NA	0.0329706561160567
APOB	Diagnoses - main ICD10: J33 Nasal polyp	0.184168457173887	rs4751870	NA	NA	-0.000822274173262137	Inverse variance weighted	trans	0.215244440534016	NA	0.000619168740160222
APOB	Diagnoses - main ICD10: J33 Nasal polyp	0.184168457173887	rs964184	NA	NA	-0.000822274173262137	Inverse variance weighted	trans	0.215244440534016	NA	0.000619168740160222
APOB	Diagnoses - main ICD10: J33 Nasal polyp	0.184168457173887	rs520354	NA	NA	-0.000822274173262137	Inverse variance weighted	cis	0.215244440534016	NA	0.000619168740160222
APOB	Transferrin Saturation	0.184597128748862	rs520354	NA	NA	-0.044180679195516	Wald ratio	cis	NA	NA	0.0333003626772173
APOB	Amyotrophic lateral sclerosis	0.185289499521146	rs4751870	NA	NA	-0.0694737262134656	Inverse variance weighted	trans	0.731204111507802	NA	0.0524471215399359
APOB	Amyotrophic lateral sclerosis	0.185289499521146	rs964184	NA	NA	-0.0694737262134656	Inverse variance weighted	trans	0.731204111507802	NA	0.0524471215399359
APOB	Amyotrophic lateral sclerosis	0.185289499521146	rs520354	NA	NA	-0.0694737262134656	Inverse variance weighted	cis	0.731204111507802	NA	0.0524471215399359
APOB	Type 2 diabetes	0.187080041847649	rs520354	NA	NA	-0.065290561477678	Wald ratio	cis	NA	NA	0.0494900482641063
APOB	Diagnoses - main ICD10: R55 Syncope and collapse	0.188982429895244	rs4751870	NA	NA	0.000895072082501526	Inverse variance weighted	trans	0.571333166567007	NA	0.000681391049292652
APOB	Diagnoses - main ICD10: R55 Syncope and collapse	0.188982429895244	rs964184	NA	NA	0.000895072082501526	Inverse variance weighted	trans	0.571333166567007	NA	0.000681391049292652
APOB	Diagnoses - main ICD10: R55 Syncope and collapse	0.188982429895244	rs520354	NA	NA	0.000895072082501526	Inverse variance weighted	cis	0.571333166567007	NA	0.000681391049292652
APOB	Percent emphysema	0.194432167886697	rs964184	NA	NA	-0.0446652474520688	Inverse variance weighted	trans	0.290001308667915	NA	0.0344219966830554
APOB	Percent emphysema	0.194432167886697	rs520354	NA	NA	-0.0446652474520688	Inverse variance weighted	cis	0.290001308667915	NA	0.0344219966830554
APOB	HbA1C	0.197278787080231	rs964184	NA	NA	0.0147196603267995	Inverse variance weighted	trans	0.282617432659545	NA	0.0114164017364538
APOB	HbA1C	0.197278787080231	rs520354	NA	NA	0.0147196603267995	Inverse variance weighted	cis	0.282617432659545	NA	0.0114164017364538
APOB	Neo-neuroticism	0.200940665246859	rs520354	NA	NA	0.405209363666337	Wald ratio	cis	NA	NA	0.316848005275305
APOB	Mean cell haemoglobin	0.200951237397543	rs520354	NA	NA	0.0438509726343554	Wald ratio	cis	NA	NA	0.034289482360699
APOB	Systolic blood pressure  automated reading	0.204316552016923	rs4751870	NA	NA	-0.00921390359071233	Inverse variance weighted	trans	0.647146394369463	NA	0.00725876198203915
APOB	Systolic blood pressure  automated reading	0.204316552016923	rs964184	NA	NA	-0.00921390359071233	Inverse variance weighted	trans	0.647146394369463	NA	0.00725876198203915
APOB	Systolic blood pressure  automated reading	0.204316552016923	rs520354	NA	NA	-0.00921390359071233	Inverse variance weighted	cis	0.647146394369463	NA	0.00725876198203915
APOB	Non-cancer illness code  self-reported: hiatus hernia	0.205310483978504	rs4751870	NA	NA	0.00203127761449877	Inverse variance weighted	trans	0.112660103693856	NA	0.00160376756553526
APOB	Non-cancer illness code  self-reported: hiatus hernia	0.205310483978504	rs964184	NA	NA	0.00203127761449877	Inverse variance weighted	trans	0.112660103693856	NA	0.00160376756553526
APOB	Non-cancer illness code  self-reported: hiatus hernia	0.205310483978504	rs520354	NA	NA	0.00203127761449877	Inverse variance weighted	cis	0.112660103693856	NA	0.00160376756553526
APOB	Diagnoses - main ICD10: L03 Cellulitis	0.208319606715035	rs4751870	NA	NA	-0.000817355338365479	Inverse variance weighted	trans	0.848634711988166	NA	0.000649622990716189
APOB	Diagnoses - main ICD10: L03 Cellulitis	0.208319606715035	rs964184	NA	NA	-0.000817355338365479	Inverse variance weighted	trans	0.848634711988166	NA	0.000649622990716189
APOB	Diagnoses - main ICD10: L03 Cellulitis	0.208319606715035	rs520354	NA	NA	-0.000817355338365479	Inverse variance weighted	cis	0.848634711988166	NA	0.000649622990716189
APOB	Bulimia nervosa	0.209640039679737	rs4751870	NA	NA	0.029697493093569	Inverse variance weighted	trans	0.61904721254107	NA	0.0236717186608166
APOB	Bulimia nervosa	0.209640039679737	rs964184	NA	NA	0.029697493093569	Inverse variance weighted	trans	0.61904721254107	NA	0.0236717186608166
APOB	Bulimia nervosa	0.209640039679737	rs520354	NA	NA	0.029697493093569	Inverse variance weighted	cis	0.61904721254107	NA	0.0236717186608166
APOB	Endometrioid ovarian cancer	0.212662788473392	rs4751870	NA	NA	-0.10520956435367	Inverse variance weighted	trans	0.724696248769537	NA	0.0844190981558709
APOB	Endometrioid ovarian cancer	0.212662788473392	rs964184	NA	NA	-0.10520956435367	Inverse variance weighted	trans	0.724696248769537	NA	0.0844190981558709
APOB	Endometrioid ovarian cancer	0.212662788473392	rs520354	NA	NA	-0.10520956435367	Inverse variance weighted	cis	0.724696248769537	NA	0.0844190981558709
APOB	Forearm bone mineral density	0.217334549523731	rs4751870	NA	NA	-0.0563959694393332	Inverse variance weighted	trans	0.800446160021701	NA	0.0457148430908327
APOB	Forearm bone mineral density	0.217334549523731	rs964184	NA	NA	-0.0563959694393332	Inverse variance weighted	trans	0.800446160021701	NA	0.0457148430908327
APOB	Forearm bone mineral density	0.217334549523731	rs520354	NA	NA	-0.0563959694393332	Inverse variance weighted	cis	0.800446160021701	NA	0.0457148430908327
APOB	Cancer code  self-reported: basal cell carcinoma	0.219348672482333	rs4751870	NA	NA	-0.000953141405700008	Inverse variance weighted	trans	0.284837253911626	NA	0.000776008287734255
APOB	Cancer code  self-reported: basal cell carcinoma	0.219348672482333	rs964184	NA	NA	-0.000953141405700008	Inverse variance weighted	trans	0.284837253911626	NA	0.000776008287734255
APOB	Cancer code  self-reported: basal cell carcinoma	0.219348672482333	rs520354	NA	NA	-0.000953141405700008	Inverse variance weighted	cis	0.284837253911626	NA	0.000776008287734255
APOB	Diagnoses - main ICD10: K29 Gastritis and duodenitis	0.223481275868266	rs4751870	NA	NA	0.00133806261958905	Inverse variance weighted	trans	0.936657012345686	NA	0.00109918436999229
APOB	Diagnoses - main ICD10: K29 Gastritis and duodenitis	0.223481275868266	rs964184	NA	NA	0.00133806261958905	Inverse variance weighted	trans	0.936657012345686	NA	0.00109918436999229
APOB	Diagnoses - main ICD10: K29 Gastritis and duodenitis	0.223481275868266	rs520354	NA	NA	0.00133806261958905	Inverse variance weighted	cis	0.936657012345686	NA	0.00109918436999229
APOB	Non-cancer illness code  self-reported: asthma	0.22733724774297	rs4751870	NA	NA	0.00277707591329921	Inverse variance weighted	trans	0.521290910406858	NA	0.00230033885731642
APOB	Non-cancer illness code  self-reported: asthma	0.22733724774297	rs964184	NA	NA	0.00277707591329921	Inverse variance weighted	trans	0.521290910406858	NA	0.00230033885731642
APOB	Non-cancer illness code  self-reported: asthma	0.22733724774297	rs520354	NA	NA	0.00277707591329921	Inverse variance weighted	cis	0.521290910406858	NA	0.00230033885731642
APOB	Diagnoses - main ICD10: N40 Hyperplasia of prostate	0.230989490890337	rs4751870	NA	NA	-0.000822771910853883	Inverse variance weighted	trans	0.854906221112853	NA	0.000686894633237463
APOB	Diagnoses - main ICD10: N40 Hyperplasia of prostate	0.230989490890337	rs964184	NA	NA	-0.000822771910853883	Inverse variance weighted	trans	0.854906221112853	NA	0.000686894633237463
APOB	Diagnoses - main ICD10: N40 Hyperplasia of prostate	0.230989490890337	rs520354	NA	NA	-0.000822771910853883	Inverse variance weighted	cis	0.854906221112853	NA	0.000686894633237463
APOB	Diagnoses - main ICD10: K35 Acute appendicitis	0.23697459648903	rs4751870	NA	NA	0.000598052462311518	Inverse variance weighted	trans	0.528395568630567	NA	0.000505717268945675
APOB	Diagnoses - main ICD10: K35 Acute appendicitis	0.23697459648903	rs964184	NA	NA	0.000598052462311518	Inverse variance weighted	trans	0.528395568630567	NA	0.000505717268945675
APOB	Diagnoses - main ICD10: K35 Acute appendicitis	0.23697459648903	rs520354	NA	NA	0.000598052462311518	Inverse variance weighted	cis	0.528395568630567	NA	0.000505717268945675
APOB	Thyroid cancer	0.239583465887906	rs520354	NA	NA	0.323223673825801	Wald ratio	cis	NA	NA	0.274843389383449
APOB	Autism	0.244271326601775	rs964184	NA	NA	-0.1114489502567	Inverse variance weighted	trans	0.281904124131108	NA	0.0957155328478951
APOB	Autism	0.244271326601775	rs520354	NA	NA	-0.1114489502567	Inverse variance weighted	cis	0.281904124131108	NA	0.0957155328478951
APOB	High grade serous ovarian cancer	0.256071824349434	rs4751870	NA	NA	0.0527022572003919	Inverse variance weighted	trans	0.589596382450971	NA	0.0464040800680352
APOB	High grade serous ovarian cancer	0.256071824349434	rs964184	NA	NA	0.0527022572003919	Inverse variance weighted	trans	0.589596382450971	NA	0.0464040800680352
APOB	High grade serous ovarian cancer	0.256071824349434	rs520354	NA	NA	0.0527022572003919	Inverse variance weighted	cis	0.589596382450971	NA	0.0464040800680352
APOB	Clear cell ovarian cancer	0.260955772328839	rs4751870	NA	NA	0.132523604766096	Inverse variance weighted	trans	0.646364732422256	NA	0.11788940688305
APOB	Clear cell ovarian cancer	0.260955772328839	rs964184	NA	NA	0.132523604766096	Inverse variance weighted	trans	0.646364732422256	NA	0.11788940688305
APOB	Clear cell ovarian cancer	0.260955772328839	rs520354	NA	NA	0.132523604766096	Inverse variance weighted	cis	0.646364732422256	NA	0.11788940688305
APOB	Alzheimer's disease	0.267625893893938	rs4751870	NA	NA	-0.054146699121482	Inverse variance weighted	trans	0.655965449555098	NA	0.0488447728404488
APOB	Alzheimer's disease	0.267625893893938	rs520354	NA	NA	-0.054146699121482	Inverse variance weighted	cis	0.655965449555098	NA	0.0488447728404488
APOB	Potassium in urine	0.273775446197396	rs4751870	NA	NA	-0.00787748886995675	Inverse variance weighted	trans	0.966914301168494	NA	0.0071979357928996
APOB	Potassium in urine	0.273775446197396	rs964184	NA	NA	-0.00787748886995675	Inverse variance weighted	trans	0.966914301168494	NA	0.0071979357928996
APOB	Potassium in urine	0.273775446197396	rs520354	NA	NA	-0.00787748886995675	Inverse variance weighted	cis	0.966914301168494	NA	0.0071979357928996
APOB	Non-cancer illness code  self-reported: hypertension	0.275834744924696	rs4751870	NA	NA	0.00639712788001977	Inverse variance weighted	trans	0.0306348434934207	NA	0.00587041116401897
APOB	Non-cancer illness code  self-reported: hypertension	0.275834744924696	rs964184	NA	NA	0.00639712788001977	Inverse variance weighted	trans	0.0306348434934207	NA	0.00587041116401897
APOB	Non-cancer illness code  self-reported: hypertension	0.275834744924696	rs520354	NA	NA	0.00639712788001977	Inverse variance weighted	cis	0.0306348434934207	NA	0.00587041116401897
APOB	Diagnoses - main ICD10: D12 Benign neoplasm of colon  rectum  anus and anal canal	0.277238478472711	rs4751870	NA	NA	0.000924456148904525	Inverse variance weighted	trans	0.575029399627905	NA	0.000850822726090097
APOB	Diagnoses - main ICD10: D12 Benign neoplasm of colon  rectum  anus and anal canal	0.277238478472711	rs964184	NA	NA	0.000924456148904525	Inverse variance weighted	trans	0.575029399627905	NA	0.000850822726090097
APOB	Diagnoses - main ICD10: D12 Benign neoplasm of colon  rectum  anus and anal canal	0.277238478472711	rs520354	NA	NA	0.000924456148904525	Inverse variance weighted	cis	0.575029399627905	NA	0.000850822726090097
APOB	Non-cancer illness code  self-reported: migraine	0.288320757687367	rs4751870	NA	NA	0.00129113380787312	Inverse variance weighted	trans	0.556506824859877	NA	0.00121597142354906
APOB	Non-cancer illness code  self-reported: migraine	0.288320757687367	rs964184	NA	NA	0.00129113380787312	Inverse variance weighted	trans	0.556506824859877	NA	0.00121597142354906
APOB	Non-cancer illness code  self-reported: migraine	0.288320757687367	rs520354	NA	NA	0.00129113380787312	Inverse variance weighted	cis	0.556506824859877	NA	0.00121597142354906
APOB	Years of schooling	0.288594577892618	rs964184	NA	NA	0.0157710871673317	Inverse variance weighted	trans	0.225565795515518	NA	0.0148614228154309
APOB	Years of schooling	0.288594577892618	rs520354	NA	NA	0.0157710871673317	Inverse variance weighted	cis	0.225565795515518	NA	0.0148614228154309
APOB	Non-cancer illness code  self-reported: muscle or soft tissue injuries	0.290630121833958	rs4751870	NA	NA	0.000647633596410166	Inverse variance weighted	trans	0.689548533939634	NA	0.000612859743499509
APOB	Non-cancer illness code  self-reported: muscle or soft tissue injuries	0.290630121833958	rs964184	NA	NA	0.000647633596410166	Inverse variance weighted	trans	0.689548533939634	NA	0.000612859743499509
APOB	Non-cancer illness code  self-reported: muscle or soft tissue injuries	0.290630121833958	rs520354	NA	NA	0.000647633596410166	Inverse variance weighted	cis	0.689548533939634	NA	0.000612859743499509
APOB	Diagnoses - main ICD10: G56 Mononeuropathies of upper limb	0.293145252153779	rs4751870	NA	NA	-0.000989065694784392	Inverse variance weighted	trans	0.533482906622203	NA	0.000940850132722395
APOB	Diagnoses - main ICD10: G56 Mononeuropathies of upper limb	0.293145252153779	rs964184	NA	NA	-0.000989065694784392	Inverse variance weighted	trans	0.533482906622203	NA	0.000940850132722395
APOB	Diagnoses - main ICD10: G56 Mononeuropathies of upper limb	0.293145252153779	rs520354	NA	NA	-0.000989065694784392	Inverse variance weighted	cis	0.533482906622203	NA	0.000940850132722395
APOB	Serum creatinine (eGFRcrea)	0.301518565282979	rs964184	NA	NA	0.00566440322583498	Inverse variance weighted	trans	0.0555005779263273	NA	0.00548248153685163
APOB	Serum creatinine (eGFRcrea)	0.301518565282979	rs520354	NA	NA	0.00566440322583498	Inverse variance weighted	cis	0.0555005779263273	NA	0.00548248153685163
APOB	Haemoglobin concentration	0.309177618947532	rs520354	NA	NA	-0.019782393669634	Wald ratio	cis	NA	NA	0.0194526871084735
APOB	Forced vital capacity (FVC)	0.311781214498494	rs4751870	NA	NA	-0.00701370987018918	Inverse variance weighted	trans	0.241781293779841	NA	0.00693402702262523
APOB	Forced vital capacity (FVC)	0.311781214498494	rs964184	NA	NA	-0.00701370987018918	Inverse variance weighted	trans	0.241781293779841	NA	0.00693402702262523
APOB	Forced vital capacity (FVC)	0.311781214498494	rs520354	NA	NA	-0.00701370987018918	Inverse variance weighted	cis	0.241781293779841	NA	0.00693402702262523
APOB	Birth weight	0.31237902608808	rs4751870	NA	NA	0.0165325731936341	Inverse variance weighted	trans	0.0927835089226132	NA	0.0163649518973156
APOB	Birth weight	0.31237902608808	rs964184	NA	NA	0.0165325731936341	Inverse variance weighted	trans	0.0927835089226132	NA	0.0163649518973156
APOB	Birth weight	0.31237902608808	rs520354	NA	NA	0.0165325731936341	Inverse variance weighted	cis	0.0927835089226132	NA	0.0163649518973156
APOB	Fractured bone site(s): Ankle	0.319126540870422	rs4751870	NA	NA	-0.000842983642471502	Inverse variance weighted	trans	0.496922408518724	NA	0.000846152970726131
