#RANK	ID	GENE_SYMBOL	ENTREZ_GENE_ID	MOI	P-VALUE	EXOMISER_GENE_COMBINED_SCORE	EXOMISER_GENE_PHENO_SCORE	EXOMISER_GENE_VARIANT_SCORE	HUMAN_PHENO_SCORE	MOUSE_PHENO_SCORE	FISH_PHENO_SCORE	WALKER_SCORE	PHIVE_ALL_SPECIES_SCORE	OMIM_SCORE	MATCHES_CANDIDATE_GENE	HUMAN_PHENO_EVIDENCE	MOUSE_PHENO_EVIDENCE	FISH_PHENO_EVIDENCE	HUMAN_PPI_EVIDENCE	MOUSE_PPI_EVIDENCE	FISH_PPI_EVIDENCE
14	COL18A1_AR	COL18A1	80781	AR	0.0780	0.5743	0.7898	0.5856	0.7898	0.3924	0.0000	0.5003	0.7898	1.0000	0	Knobloch syndrome, type 1 (OMIM:267750): Epileptic spasm (HP:0011097)-Myoclonic seizure (HP:0032794), 	Epileptic spasm (HP:0011097)-subarachnoid hemorrhage (MP:0031109), 		Proximity to MACF1 associated with Posterior-predominant lissencephaly-broad flat pons and medulla-midline crossing defects syndrome (ORPHA:572013): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 		
15	NCAPG2_AR	NCAPG2	54892	AR	0.0785	0.5729	0.5006	0.9123	0.0000	0.0000	0.0000	0.5006	0.5006	1.0000	0				Proximity to SETBP1 associated with Schinzel-Giedion syndrome (ORPHA:798): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 		
16	SMYD3_AR	SMYD3	64754	AR	0.0837	0.5568	0.5000	0.9058	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to DOCK7 associated with Developmental and epileptic encephalopathy 23 (OMIM:615859): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 		
17	CAMKMT_AR	CAMKMT	79823	AR	0.0842	0.5551	0.5606	0.8365	0.5606	0.0000	0.0000	0.5001	0.5606	1.0000	0	2p21 microdeletion syndrome (ORPHA:163693): Epileptic spasm (HP:0011097)-Seizure (HP:0001250), 			Proximity to SLC6A19 associated with Hartnup disorder (OMIM:234500): Epileptic spasm (HP:0011097)-Generalized tonic seizure (HP:0010818), 		
18	NEU4_AR	NEU4	129807	AR	0.0858	0.5498	0.5052	0.8968	0.0000	0.0000	0.0000	0.5052	0.5052	1.0000	0				Proximity to GALC associated with Infantile Krabbe disease (ORPHA:206436): Epileptic spasm (HP:0011097)-Generalized myoclonic seizure (HP:0002123), 	Proximity to GALC Epileptic spasm (HP:0011097)-demyelination (MP:0000921), 	
19	USP20_AR	USP20	10868	AR	0.0893	0.5385	0.5002	0.8975	0.0000	0.0000	0.0000	0.5002	0.5002	1.0000	0				Proximity to STXBP1 associated with STXBP1-related encephalopathy (ORPHA:599373): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 	Proximity to STXBP1 Epileptic spasm (HP:0011097)-abnormal synaptic transmission (MP:0003635), 	
20	FBP1_AR	FBP1	2203	AR	0.0899	0.5367	0.5606	0.8284	0.5606	0.0000	0.0000	0.5050	0.5606	1.0000	0	Fructose-1,6-bisphosphatase deficiency (OMIM:229700): Epileptic spasm (HP:0011097)-Seizure (HP:0001250), 			Proximity to HK1 associated with Neurodevelopmental disorder with visual defects and brain anomalies (OMIM:618547): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 		
21	PGS1_AD	PGS1	9489	AD	0.0928	0.5275	0.5006	0.8923	0.0000	0.0000	0.0000	0.5006	0.5006	1.0000	0				Proximity to NUS1 associated with Intellectual developmental disorder, autosomal dominant 55, with seizures (OMIM:617831): Epileptic spasm (HP:0011097)-Myoclonic seizure (HP:0032794), 		
22	OXT_AD	OXT	5020	AD	0.0929	0.5270	0.5071	0.8847	0.0000	0.4074	0.0000	0.5071	0.5071	1.0000	0		Epileptic spasm (HP:0011097)-abnormal baroreceptor physiology (MP:0004184), 		Proximity to STAMBP associated with Microcephaly-capillary malformation syndrome (OMIM:614261): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to STAMBP Epileptic spasm (HP:0011097)-abnormal cerebral cortex morphology (MP:0000788), 	
23	PYGB_AD	PYGB	5834	AD	0.0992	0.5070	0.5006	0.8834	0.0000	0.0000	0.0000	0.5006	0.5006	1.0000	0				Proximity to NHLRC1 associated with Lafora disease (ORPHA:501): Epileptic spasm (HP:0011097)-Atonic seizure (HP:0010819), 	Proximity to NHLRC1 Epileptic spasm (HP:0011097)-abnormal seizure response to electrical stimulation (MP:0001650), 	
24	ACSL3_AD	ACSL3	2181	AD	0.1002	0.5039	0.5127	0.8683	0.0000	0.0000	0.0000	0.5127	0.5127	1.0000	0				Proximity to PPT1 associated with Late infantile neuronal ceroid lipofuscinosis (ORPHA:168491): Epileptic spasm (HP:0011097)-Myoclonic seizure (HP:0032794), 	Proximity to PPT1 Epileptic spasm (HP:0011097)-seizures (MP:0002064), 	
25	SKAP1_AD	SKAP1	8631	AD	0.1022	0.4973	0.5000	0.8798	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to CACNA1A associated with Developmental and epileptic encephalopathy 42 (OMIM:617106): Epileptic spasm (HP:0011097)-Myoclonic seizure (HP:0032794), 	Proximity to CACNA1A Epileptic spasm (HP:0011097)-abnormal nervous system physiology (MP:0003633), 	Proximity to CACNA1A Epileptic spasm (HP:0011097)-motor neuron activation quality, abnormal (ZP:0018723), 
26	GLB1_AR	GLB1	2720	AR	0.1028	0.4954	0.7839	0.5577	0.7839	0.3382	0.0000	0.5378	0.7839	1.0000	0	GM1-gangliosidosis, type II (OMIM:230600): Epileptic spasm (HP:0011097)-Generalized myoclonic seizure (HP:0002123), 	Epileptic spasm (HP:0011097)-abnormal brain morphology (MP:0002152), 		Proximity to GM2A associated with GM2-gangliosidosis, AB variant (OMIM:272750): Epileptic spasm (HP:0011097)-Myoclonic seizure (HP:0032794), 	Proximity to GM2A Epileptic spasm (HP:0011097)-abnormal brain morphology (MP:0002152), 	
27	RNF182_AR	RNF182	221687	AR	0.1049	0.4887	0.5034	0.8722	0.0000	0.0000	0.0000	0.5034	0.5034	1.0000	0				Proximity to ATP6V0C associated with Epilepsy, early-onset, 3, with or without developmental delay (OMIM:620465): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 		
28	NEDD4L_AD	NEDD4L	23327	AD	0.1066	0.4831	0.8671	0.4582	0.8671	0.4376	0.0000	0.5053	0.8671	1.0000	0	Periventricular nodular heterotopia 7 (OMIM:617201): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Epileptic spasm (HP:0011097)-decreased prepulse inhibition (MP:0009142), 		Proximity to PTPN23 associated with Neurodevelopmental disorder and structural brain anomalies with or without seizures and spasticity (OMIM:618890): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 		
29	SRP9_AD	SRP9	6726	AD	0.1099	0.4725	0.5002	0.8688	0.0000	0.0000	0.0000	0.5002	0.5002	1.0000	0				Proximity to EIF4A2 associated with Neurodevelopmental disorder with hypotonia and speech delay, with or without seizures (OMIM:620455): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 		
30	HOXC13_AR	HOXC13	3229	AR	0.1139	0.4598	0.5020	0.8612	0.0000	0.0000	0.0000	0.5020	0.5020	1.0000	0				Proximity to NACC1 associated with Neurodevelopmental disorder with epilepsy, cataracts, feeding difficulties, and delayed brain myelination (OMIM:617393): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to NACC1 Epileptic spasm (HP:0011097)-abnormal retina morphology (MP:0001325), 	
31	PPP3CA_AR	PPP3CA	5530	AR	0.1160	0.4530	0.5584	0.7943	0.8694	0.2670	0.0000	0.5025	0.8694	1.0000	0	Developmental and epileptic encephalopathy 91 (OMIM:617711): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 	Epileptic spasm (HP:0011097)-abnormal hippocampal mossy fiber morphology (MP:0002761), 		Proximity to SYNJ1 associated with Developmental and epileptic encephalopathy 53 (OMIM:617389): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 	Proximity to SYNJ1 Epileptic spasm (HP:0011097)-convulsive seizures (MP:0000947), 	
32	MRPL48_AD	MRPL48	51642	AD	0.1161	0.4526	0.5001	0.8601	0.0000	0.0000	0.0000	0.5001	0.5001	1.0000	0				Proximity to COX11 associated with Mitochondrial complex IV deficiency, nuclear type 23 (OMIM:620275): Epileptic spasm (HP:0011097)-Clonic seizure (HP:0020221), 		
33	STARD3NL_AD	STARD3NL	83930	AD	0.1171	0.4497	0.5007	0.8582	0.0000	0.0000	0.0000	0.5007	0.5007	1.0000	0				Proximity to SLC12A5 associated with Malignant migrating focal seizures of infancy (ORPHA:293181): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 	Proximity to SLC12A5 Epileptic spasm (HP:0011097)-abnormal nervous system electrophysiology (MP:0002272), 	Proximity to SLC12A5 Epileptic spasm (HP:0011097)-retinal ganglion cell decreased functionality, abnormal (ZP:0009131), 
34	MUC20_AD	MUC20	200958	AD	0.1182	0.4463	0.5066	0.8500	0.0000	0.0000	0.0000	0.5066	0.5066	1.0000	0				Proximity to ST3GAL3 associated with Infantile spasms syndrome (ORPHA:3451): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 		
35	LSG1_AD	LSG1	55341	AD	0.1191	0.4431	0.5025	0.8532	0.0000	0.0000	0.0000	0.5025	0.5025	1.0000	0				Proximity to DHX37 associated with Neurodevelopmental disorder with brain anomalies and with or without vertebral or cardiac anomalies (OMIM:618731): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 		
36	TERF2_AD	TERF2	7014	AD	0.1207	0.4385	0.5003	0.8537	0.0000	0.0000	0.0000	0.5003	0.5003	1.0000	0				Proximity to SMC1A associated with Atypical Rett syndrome (ORPHA:3095): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 		
37	RWDD1_AD	RWDD1	51389	AD	0.1211	0.4370	0.5000	0.8534	0.0000	0.2642	0.0000	0.5000	0.5000	1.0000	0		Epileptic spasm (HP:0011097)-abnormal retina morphology (MP:0001325), 		Proximity to VPS53 associated with Pontocerebellar hypoplasia, type 2E (OMIM:615851): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 		
38	PTK2B_AD	PTK2B	2185	AD	0.1218	0.4347	0.5046	0.8472	0.0000	0.0000	0.0000	0.5046	0.5046	1.0000	0				Proximity to PI4KA associated with Bilateral perisylvian polymicrogyria (ORPHA:98889): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 		
39	EIF4E2_AD	EIF4E2	9470	AD	0.1220	0.4342	0.5016	0.8504	0.0000	0.3115	0.0000	0.5016	0.5016	1.0000	0		Epileptic spasm (HP:0011097)-decreased brain size (MP:0000774), 		Proximity to EIF4A2 associated with Neurodevelopmental disorder with hypotonia and speech delay, with or without seizures (OMIM:620455): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 		
40	ZNF676_AD	ZNF676	163223	AD	0.1230	0.4314	0.5008	0.8500	0.0000	0.0000	0.0000	0.5008	0.5008	1.0000	0				Proximity to TPP1 associated with Congenital neuronal ceroid lipofuscinosis (ORPHA:168486): Epileptic spasm (HP:0011097)-Myoclonic seizure (HP:0032794), 	Proximity to TPP1 Epileptic spasm (HP:0011097)-seizures (MP:0002064), 	
41	SUMO3_AR	SUMO3	6612	AR	0.1252	0.4245	0.5006	0.8471	0.0000	0.0000	0.0000	0.5006	0.5006	1.0000	0				Proximity to PAFAH1B1 associated with Lissencephaly due to LIS1 mutation (ORPHA:95232): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to PAFAH1B1 Epileptic spasm (HP:0011097)-increased neuron apoptosis (MP:0003203), 	
42	UNC80_AR	UNC80	285175	AR	0.1343	0.3973	0.5606	0.7670	0.5606	0.5265	0.0000	0.5000	0.5606	1.0000	0	Hypotonia, infantile, with psychomotor retardation and characteristic facies 2 (OMIM:616801): Epileptic spasm (HP:0011097)-Seizure (HP:0001250), 	Epileptic spasm (HP:0011097)-abnormal nervous system electrophysiology (MP:0002272), 		Proximity to IFNG associated with TSC2 angiomyolipomas, renal, modifier of (OMIM:613254): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 	Proximity to IFNG Epileptic spasm (HP:0011097)-decreased prepulse inhibition (MP:0009142), 	
43	FRK_AR	FRK	2444	AR	0.1368	0.3898	0.5009	0.8312	0.0000	0.0000	0.0000	0.5009	0.5009	1.0000	0				Proximity to PIK3CD associated with ?Roifman-Chitayat syndrome, digenic (OMIM:613328): Epileptic spasm (HP:0011097)-Generalized myoclonic seizure (HP:0002123), 		
44	VPS41_AR	VPS41	27072	AR	0.1373	0.3883	0.5606	0.7629	0.5606	0.0000	0.0000	0.5125	0.5606	1.0000	0	Spinocerebellar ataxia, autosomal recessive 29 (OMIM:619389): Epileptic spasm (HP:0011097)-Seizure (HP:0001250), 			Proximity to AP3D1 associated with ?Hermansky-Pudlak syndrome 10 (OMIM:617050): Epileptic spasm (HP:0011097)-Focal myoclonic seizure (HP:0011166), 	Proximity to AP3D1 Epileptic spasm (HP:0011097)-abnormal nervous system physiology (MP:0003633), 	
45	TNFRSF8_AD	TNFRSF8	943	AD	0.1374	0.3881	0.5004	0.8310	0.0000	0.0000	0.0000	0.5004	0.5004	1.0000	0				Proximity to CUX2 associated with Developmental and epileptic encephalopathy 67 (OMIM:618141): Epileptic spasm (HP:0011097)-Atonic seizure (HP:0010819), 	Proximity to CUX2 Epileptic spasm (HP:0011097)-abnormal neuronal precursor proliferation (MP:0004948), 	
46	PRKACA_AR	PRKACA	5566	AR	0.1374	0.3880	0.5132	0.8165	0.0000	0.0000	0.0000	0.5132	0.5132	1.0000	0				Proximity to ATP2B1 associated with Intellectual developmental disorder, autosomal dominant 66 (OMIM:619910): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to ATP2B1 Epileptic spasm (HP:0011097)-gliosis (MP:0002183), 	
47	PTGFR_AR	PTGFR	5737	AR	0.1375	0.3878	0.5001	0.8311	0.0000	0.0000	0.0000	0.5001	0.5001	1.0000	0				Proximity to NCDN associated with Neurodevelopmental disorder with infantile epileptic spasms (OMIM:619373): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 		
48	SLC16A3_AD	SLC16A3	9123	AD	0.1380	0.3863	0.5001	0.8304	0.0000	0.4655	0.0000	0.5001	0.5001	1.0000	0		Epileptic spasm (HP:0011097)-abnormal action potential (MP:0005402), 		Proximity to CDH2 associated with Agenesis of corpus callosum, cardiac, ocular, and genital syndrome (OMIM:618929): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to CDH2 Epileptic spasm (HP:0011097)-abnormal sensorimotor gating (MP:0002634), 	
49	DAB2_AR	DAB2	1601	AR	0.1423	0.3732	0.5205	0.8013	0.0000	0.0000	0.0000	0.5205	0.5205	1.0000	0				Proximity to NECAP1 associated with Developmental and epileptic encephalopathy 21 (OMIM:615833): Epileptic spasm (HP:0011097)-Generalized tonic seizure (HP:0010818), 		
50	CHD7_AR	CHD7	55636	AR	0.1451	0.3653	0.5050	0.8152	0.5606	0.4452	0.0000	0.5050	0.5606	1.0000	0	Kallmann syndrome (ORPHA:478): Epileptic spasm (HP:0011097)-Seizure (HP:0001250), 	Epileptic spasm (HP:0011097)-decreased cochlear nerve compound action potential (MP:0004417), 		Proximity to SETD1B associated with Intellectual developmental disorder with seizures and language delay (OMIM:619000): Epileptic spasm (HP:0011097)-Myoclonic seizure (HP:0032794), 		
51	KLHDC7B_AD	KLHDC7B	113730	AD	0.1467	0.3605	0.4722	0.8500	0.0000	0.4722	0.0000	0.0000	0.4722	1.0000	0		Epileptic spasm (HP:0011097)-decreased prepulse inhibition (MP:0009142), 				
52	SDC2_AD	SDC2	6383	AD	0.1472	0.3592	0.5013	0.8165	0.0000	0.2589	0.0000	0.5013	0.5013	1.0000	0		Epileptic spasm (HP:0011097)-decreased total retina thickness (MP:0011965), 		Proximity to TRAPPC12 associated with Early-onset progressive encephalopathy-hearing loss-pons hypoplasia-brain atrophy syndrome (ORPHA:500144): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 		
53	SSU72_AD	SSU72	29101	AD	0.1503	0.3501	0.5002	0.8134	0.0000	0.0000	0.0000	0.5002	0.5002	1.0000	0				Proximity to PHACTR1 associated with Infantile spasms syndrome (ORPHA:3451): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 		
54	FLRT2_AR	FLRT2	23768	AR	0.1510	0.3480	0.3982	0.9278	0.0000	0.3982	0.0000	0.0000	0.3982	1.0000	0		Epileptic spasm (HP:0011097)-abnormal neuronal migration (MP:0006009), 				
55	KIAA0930_AR	KIAA0930	23313	AR	0.1523	0.3444	0.5000	0.8109	0.0000	0.4722	0.0000	0.5000	0.5000	1.0000	0		Epileptic spasm (HP:0011097)-increased prepulse inhibition (MP:0009141), 		Proximity to MT-ND1 associated with Mitochondrial DNA-associated Leigh syndrome (ORPHA:255210): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 		
56	CTTNBP2NL_AD	CTTNBP2NL	55917	AD	0.1525	0.3438	0.5003	0.8102	0.0000	0.0000	0.0000	0.5003	0.5003	1.0000	0				Proximity to GOLGA2 associated with Developmental delay with hypotonia, myopathy, and brain abnormalities (OMIM:620240): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to GOLGA2 Epileptic spasm (HP:0011097)-decreased Purkinje cell number (MP:0000880), 	
57	SOCS5_AD	SOCS5	9655	AD	0.1555	0.3358	0.5002	0.8065	0.0000	0.0000	0.0000	0.5002	0.5002	1.0000	0				Proximity to IFNG associated with TSC2 angiomyolipomas, renal, modifier of (OMIM:613254): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 	Proximity to IFNG Epileptic spasm (HP:0011097)-decreased prepulse inhibition (MP:0009142), 	
58	SLC15A4_AR	SLC15A4	121260	AR	0.1557	0.3353	0.5000	0.8065	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to DOCK7 associated with Developmental and epileptic encephalopathy 23 (OMIM:615859): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 		
59	ATOH7_AR	ATOH7	220202	AR	0.1557	0.3352	0.5002	0.8062	0.0000	0.2591	0.0000	0.5002	0.5002	1.0000	0		Epileptic spasm (HP:0011097)-abnormal retina morphology (MP:0001325), 		Proximity to NEUROG1 associated with Cranial dysinnervation disorder, congenital, with absent corneal reflex and developmental delay (OMIM:620469): Epileptic spasm (HP:0011097)-Myoclonic seizure (HP:0032794), 	Proximity to NEUROG1 Epileptic spasm (HP:0011097)-abnormal cranial nerve morphology (MP:0001056), 	
60	XYLT1_AR	XYLT1	64131	AR	0.1585	0.3272	0.5061	0.7956	0.0000	0.0000	0.0000	0.5061	0.5061	1.0000	0				Proximity to TMEM147 associated with Neurodevelopmental disorder with facial dysmorphism, absent language, and pseudo-Pelger-Huet anomaly (OMIM:620075): Epileptic spasm (HP:0011097)-Tonic seizure (HP:0032792), 		
61	C5AR1_AR	C5AR1	728	AR	0.1612	0.3199	0.5014	0.7973	0.0000	0.0000	0.0000	0.5014	0.5014	1.0000	0				Proximity to GRM7 associated with Early infantile epileptic encephalopathy (ORPHA:1934): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to GRM7 Epileptic spasm (HP:0011097)-seizures (MP:0002064), 	
62	SCN1A_AD	SCN1A	6323	AD	0.1614	0.3192	0.8565	0.3950	0.8766	0.5302	0.0000	0.5396	0.8766	1.0000	0	Myoclonic-astatic epilepsy (ORPHA:1942): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 	Epileptic spasm (HP:0011097)-abnormal nervous system electrophysiology (MP:0002272), 		Proximity to TBC1D24 associated with Malignant migrating focal seizures of infancy (ORPHA:293181): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 	Proximity to TBC1D24 Epileptic spasm (HP:0011097)-seizures (MP:0002064), 	
63	MARK2_AR	MARK2	2011	AR	0.1615	0.3188	0.7021	0.5696	0.0000	0.3027	0.0000	0.7021	0.7021	1.0000	0		Epileptic spasm (HP:0011097)-increased brain size (MP:0005238), 		Proximity to CEP85L associated with Posterior-predominant lissencephaly-broad flat pons and medulla-midline crossing defects syndrome (ORPHA:572013): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to CEP85L Epileptic spasm (HP:0011097)-decreased prepulse inhibition (MP:0009142), 	
64	TTC4_AD	TTC4	7268	AD	0.1624	0.3165	0.5005	0.7967	0.0000	0.0000	0.0000	0.5005	0.5005	1.0000	0				Proximity to EXTL3 associated with Skeletal dysplasia-T-cell immunodeficiency-developmental delay syndrome (ORPHA:508533): Epileptic spasm (HP:0011097)-Focal myoclonic seizure (HP:0011166), 		
65	NDUFS7_AR	NDUFS7	374291	AR	0.1631	0.3147	0.5606	0.7277	0.5606	0.2589	0.0000	0.5044	0.5606	1.0000	0	Mitochondrial complex I deficiency, nuclear type 3 (OMIM:618224): Epileptic spasm (HP:0011097)-Seizure (HP:0001250), 	Epileptic spasm (HP:0011097)-decreased total retina thickness (MP:0011965), 		Proximity to MT-ND6 associated with Mitochondrial DNA-associated Leigh syndrome (ORPHA:255210): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to MT-ND6 Epileptic spasm (HP:0011097)-decreased myelin sheath thickness (MP:0011731), 	
66	CDCA4_AD	CDCA4	55038	AD	0.1645	0.3110	0.5000	0.7944	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to CACNB4 associated with Epilepsy, juvenile myoclonic, susceptibility to, 6 (OMIM:607682): Epileptic spasm (HP:0011097)-Generalized tonic seizure (HP:0010818), 	Proximity to CACNB4 Epileptic spasm (HP:0011097)-abnormal nerve conduction (MP:0005403), 	
